text,attitudes,comments,reposts
#垃圾分类#先不说垃圾分类多么势在必行你戒掉了随手乱扔垃圾这种臭不要脸的毫无公德心的不文明行为了吗？！你觉得厄尔尼诺和你无关吗？温室效应和你无关吗？也许每一场龙卷风都和你有关！大自然不可欺，有仇必报。。。不乱丢垃圾表面是一种行为，实则是一种民族信仰，是民族精神！！！人类会为自 ...全文,0,0,0
#垃圾分类#可乐瓶是可回收垃圾我知道，纸巾无论多干多湿它都属于干垃圾，可是药片包装是属于有害垃圾吗？还有用完的笔壳和笔芯是属于其他垃圾吗？🙃️,0,0,0
#这里有英语翻译手帐#经济学人超话泛读来了来了，昨晚以雪人新刊这篇围绕#垃圾分类# 的热点文为例，和7月共学群小伙伴从词句篇三个层面聊了下🔍读外刊读什么怎么读，下一次直播继续约起来🍊这篇泛读标注了基本的语言点，顺带上文章的逻辑梳理，眼尖的你可以挖掘出很多宝藏😎📌每 ...全文,6,4,2
上海的七月出行装备#垃圾分类#,0,0,0
#垃圾分类#【牙膏皮属于什么垃圾？】【垃圾分类】牙膏皮属于什么垃圾？,0,0,0
【#瑞典垃圾回收率99%#，甚至出现垃圾不够用的状况】瑞典是一个#垃圾分类# 十分严苛细致的国家，垃圾回收率达99%，只有不到1%的垃圾被填埋。在可回收垃圾中，将近一半被用来焚烧发电供居民取暖、用电，甚至出现垃圾不够用、需从别国进口的状况，也因此诞生一桩每年收入上亿美元的生意。 ...全文,2,0,0
#垃圾分类# 笑死了……联通发微博，本来想调侃垃圾分类，结果评论……,1,0,0
#垃圾分类# #小冷哥心语#垃圾要干湿分类饮品要冷热分区【海尔四季冷热柜SC/SR-409】智能变温一体系统 冷热饮品分区存储,0,0,0
#韵草堂的抓马日常##垃圾分类#眼前的“干”不是“干”，你说的“湿”是什么“湿”，今天有被阿姨问“你是什么垃圾“吗？,3,3,1
@王尼玛 得知武汉成为 #垃圾分类# 城市第一梯队的我们瑟瑟发抖~提高国民素质，我们刻不容缓。 武汉天之逸的微博视频,0,0,0
北京垃圾分类什么时候开始#北京公交##垃圾分类# 圣恩呀呀呀的微博视频,0,0,0
#垃圾分类就是新时尚# 【上海滩#垃圾分类# 歌《给我一个桶》上线，分类不用愁！】上海女孩琳大侠改编环保神曲《给我一个桶》，用一首歌解决大噶都脑壳疼的垃圾分类问题~还特邀有腔调的爷叔们：上海利兹老克勒乐队和舞蹈队、合唱团的阿姨妈妈们共同演绎了这首老上海风情音乐，并融入了浓浓的特色海派文 ...全文,1,0,0
